date,player_team,opponent,map,kd,plus_minus,rating,source_url
27/08/25,Vitality,M80,ovp,6 - 12,-6,0.49,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
24/08/25,Vitality,Falcons,nuke,12 - 15,-3,0.97,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
24/08/25,Vitality,Falcons,trn,10 - 14,-4,0.87,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
24/08/25,Vitality,Falcons,inf,9 - 13,-4,0.72,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
23/08/25,Vitality,The MongolZ,nuke,14 - 14,0,1.20,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
23/08/25,Vitality,The MongolZ,d2,11 - 14,-3,0.81,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
23/08/25,Vitality,The MongolZ,mrg,17 - 15,+2,1.33,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
21/08/25,Vitality,TYLOO,nuke,20 - 12,+8,1.45,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
21/08/25,Vitality,TYLOO,inf,24 - 7,+17,2.73,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
20/08/25,Vitality,Liquid,d2,24 - 20,+4,1.18,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
20/08/25,Vitality,Liquid,mrg,27 - 14,+13,1.95,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8039
16/08/25,Vitality,The MongolZ,inf,17 - 16,+1,0.96,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7910
16/08/25,Vitality,The MongolZ,mrg,15 - 13,+2,1.13,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7910
15/08/25,Vitality,Liquid,nuke,30 - 21,+9,1.34,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7910
15/08/25,Vitality,Liquid,trn,25 - 17,+8,1.13,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7910
10/08/25,Vitality,Legacy,d2,15 - 11,+4,1.32,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7906
10/08/25,Vitality,Legacy,mrg,25 - 15,+10,1.42,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7906
08/08/25,Vitality,NRG,d2,15 - 6,+9,1.55,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7906
